Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
228,1.900000,0.003056,0.032581,0.013832,,,
229,1.908333,0.003063,0.032581,0.013834,,,
230,1.916667,0.003064,0.032586,0.013826,,,
231,1.925000,0.003071,0.032573,0.013843,,,
232,1.933333,0.003071,0.032575,0.013834,,,
233,1.941667,0.003072,0.032581,0.013837,,,
234,1.950000,0.003059,0.032582,0.013829,,,
235,1.958333,0.003060,0.032578,0.013824,,,
236,1.966667,0.003074,0.032579,0.013838,,,
237,1.975000,0.003065,0.032579,0.013844,,,
238,1.983333,0.003065,0.032587,0.013837,,,
239,1.991667,0.003055,0.032600,0.013827,,,
240,2.000000,0.003062,0.032591,0.013831,,,
241,2.008333,0.003066,0.032584,0.013832,,,
242,2.016667,0.003063,0.032589,0.013830,,,
243,2.025000,0.003055,0.032603,0.013834,,,
244,2.033333,0.003067,0.032587,0.013833,,,
245,2.041667,0.003064,0.032586,0.013833,,,
246,2.050000,0.003075,0.032586,0.013834,,,
247,2.058333,0.003073,0.032586,0.013840,,,
248,2.066667,0.003084,0.032601,0.013829,,,
249,2.075000,0.003066,0.032596,0.013830,,,
250,2.083333,0.003064,0.032601,0.013828,,,
251,2.091667,0.003064,0.032601,0.013820,,,
252,2.100000,0.003081,0.032591,0.013838,,,
253,2.108333,0.003072,0.032588,0.013829,,,
254,2.116667,0.003060,0.032588,0.013829,,,
255,2.125000,0.003064,0.032585,0.013829,,,
256,2.133333,0.003069,0.032577,0.013831,,,
257,2.141667,0.003069,0.032589,0.013825,,,
258,2.150000,0.003069,0.032581,0.013838,,,
259,2.158333,0.003051,0.032581,0.013830,,,
260,2.166667,0.003045,0.032593,0.013833,,,
261,2.175000,0.003051,0.032598,0.013825,,,
262,2.183333,0.003064,0.032585,0.013823,,,
263,2.191667,0.003080,0.032591,0.013827,,,
